team_abbr,team_display_name,coach_name,title,first_season_with_team,pre2026_w,pre2026_l,stint_note,source_url,verified_on
ATL,Atlanta Dream,Karl Smesko,head coach,2025,30,14,,https://www.wnba.com/news/atlanta-dream-hire-karl-smesko-as-head-coach,2026-08-14
CHI,Chicago Sky,Tyler Marsh,head coach,2025,10,34,,https://sky.wnba.com/news/chicago-sky-name-tyler-marsh-as-head-coach,2026-08-14
CON,Connecticut Sun,Rachid Meziane,head coach,2025,11,33,,https://sun.wnba.com/head-coach,2026-08-14
DAL,Dallas Wings,Jose Fernandez,head coach,2026,0,0,first season with team,https://en.wikipedia.org/wiki/2026_Dallas_Wings_season,2026-08-14
GSV,Golden State Valkyries,Natalie Nakase,head coach,2025,23,21,,https://valkyries.wnba.com/news/golden-state-valkyries-announce-natalie-nakase-as-head-coach-20241010,2026-08-14
IND,Indiana Fever,Stephanie White,head coach,2025,24,20,"current stint only; also coached IND 2015-16 (37-31), all-stints record 61-51",https://fever.wnba.com/news/indiana-fever-hire-stephanie-white-as-head-coach,2026-08-14
LVA,Las Vegas Aces,Becky Hammon,head coach,2022,117,43,,https://aces.wnba.com/head-coach-becky-hammon,2026-08-14
LAS,Los Angeles Sparks,Lynne Roberts,head coach,2025,21,23,,https://sparks.wnba.com/news/los-angeles-sparks-name-lynne-roberts-head-coach,2026-08-14
MIN,Minnesota Lynx,Cheryl Reeve,head coach,2010,364,190,,https://www.basketball-reference.com/wnba/coaches/reevech99w.html,2026-08-14
NYL,New York Liberty,Chris DeMarco,head coach,2026,0,0,first season with team,https://liberty.wnba.com/news/new-york-liberty-announce-2026-coaching-staff-hires,2026-08-14
PHX,Phoenix Mercury,Nate Tibbetts,head coach,2024,46,38,,https://en.wikipedia.org/wiki/2026_Phoenix_Mercury_season,2026-08-14
PDX,Portland Fire,Alex Sarama,head coach,2026,0,0,first season with team,https://en.wikipedia.org/wiki/2026_Portland_Fire_season,2026-08-14
SEA,Seattle Storm,Sonia Raman,head coach,2026,0,0,first season with team,https://storm.wnba.com/news/coach-sonia-raman,2026-08-14
TOR,Toronto Tempo,Sandy Brondello,head coach,2026,0,0,first season with team; prior HC record with PHX/NYL not counted here,https://en.wikipedia.org/wiki/2026_Toronto_Tempo_season,2026-08-14
WAS,Washington Mystics,Sydney Johnson,head coach,2025,16,28,,https://mystics.wnba.com/news/mystics-finalize-coaching-staff,2026-08-14
