# Source: https://en.wikipedia.org/wiki/2026_FIBA_Women's_Basketball_World_Cup_squads
# Captured 2026-09-03 via browser DOM extraction (table.sortable inside table.toccolours).
# Columns: team	pos	no	name	age	height_ftin	club	club_country
# Ages are as of 2026-09-04 per the page's own legend. Height ft/in only (metres dropped).
# NOTE: Korea and China were RENUMBERED and Korea RE-ROMANISED between the 09-02 and
# 09-03 captures. This page is being edited hourly this close to tip — re-capture, do
# not assume yesterday's numbers hold.
team	pos	no	name	age	height	club	club_country
GER	PG	1	Alexis Peterson	31	5 ft 5 in	Valencia Basket	Spain
GER	G	3	Alexandra Wilke	29	5 ft 9 in	Rutronik Stars Keltern	Germany
GER	PF	8	Nyara Sabally	26	6 ft 2 in	Toronto Tempo	Canada
GER	F	9	Emma Eichmeyer	26	6 ft 0 in	Saarlouis Royals	Germany
GER	SG	13	Leonie Fiebich	26	6 ft 4 in	New York Liberty	United States
GER	C	15	Luisa Geiselsöder	26	6 ft 3 in	Portland Fire	United States
GER	G	19	Britta Daub	27	5 ft 9 in	Eisvögel USC Freiburg	Germany
GER	PF	20	Frieda Bühner	22	6 ft 1 in	Portland Fire	United States
GER	PF	21	Marie Gülich	32	6 ft 5 in	Townsville Fire	Australia
GER	SF	22	Emily Bessoir	24	6 ft 4 in	CB Jairis	Spain
GER	PG	24	Lina Sontag	22	6 ft 3 in	AE Sedis Bàsquet	Spain
GER	G	25	Clara Bielefeld	19	6 ft 1 in	TCU Horned Frogs	United States
JPN	SG	2	Norika Konno	26	5 ft 10 in	Eneos Sunflowers	Japan
JPN	PF	3	Stephanie Mawuli	27	6 ft 0 in	CB Avenida	Spain
JPN	SF	6	Otoha Goto	19	5 ft 10 in	Tokyo Healthcare University	Japan
JPN	C	8	Maki Takada	37	6 ft 1 in	Denso Iris	Japan
JPN	C	10	Ramu Tokashiki	35	6 ft 4 in	Toyota Antelopes	Japan
JPN	PG	13	Rui Machida	33	5 ft 4 in	Fujitsu Red Wave	Japan
JPN	C	14	Azusa Asahina	22	6 ft 1 in	Toyota Boshoku Sunshine Rabbits	Japan
JPN	SG	23	Mai Yamamoto	26	5 ft 4 in	Las Vegas Aces	United States
JPN	G	26	Kokoro Tanaka	20	5 ft 8 in	Eneos Sunflowers	Japan
JPN	SG	27	Saki Hayashi	31	5 ft 8 in	Fujitsu Red Wave	Japan
JPN	PF	52	Yuki Miyazawa	33	6 ft 0 in	Fujitsu Red Wave	Japan
JPN	SF	75	Nanako Todo	25	5 ft 9 in	Toyota Boshoku Sunshine Rabbits	Japan
MLI	F	0	Sira Thienou	22	5 ft 10 in	Auburn Tigers	United States
