game_no,date,phase,group,team_1,team_2,tip_cest,tip_gmt,tip_et,time_tba,venue_slot,matchup_rule
,2026-09-04,group,A,JAPAN,MALI,11:30,09:30,05:30,FALSE,1,
,2026-09-04,group,B,KOREA,NIGERIA,14:30,12:30,08:30,FALSE,1,
,2026-09-04,group,A,SPAIN,GERMANY,17:45,15:45,11:45,FALSE,1,
,2026-09-04,group,B,HUNGARY,FRANCE,21:00,19:00,15:00,FALSE,1,
,2026-09-04,group,C,AUSTRALIA,PUERTO RICO,11:30,09:30,05:30,FALSE,2,
,2026-09-04,group,D,USA,CHINA,14:15,12:15,08:15,FALSE,2,
,2026-09-04,group,C,BELGIUM,TÜRKIYE,17:30,15:30,11:30,FALSE,2,
,2026-09-04,group,D,CZECHIA,ITALY,20:15,18:15,14:15,FALSE,2,
,2026-09-05,group,A,MALI,SPAIN,11:30,09:30,05:30,FALSE,,
,2026-09-05,group,B,NIGERIA,HUNGARY,14:15,12:15,08:15,FALSE,,
,2026-09-05,group,A,GERMANY,JAPAN,18:00,16:00,12:00,FALSE,,
,2026-09-05,group,B,FRANCE,KOREA,20:45,18:45,14:45,FALSE,,
,2026-09-06,group,C,TÜRKIYE,AUSTRALIA,11:30,09:30,05:30,FALSE,,
,2026-09-06,group,D,CHINA,CZECHIA,14:30,12:30,08:30,FALSE,,
,2026-09-06,group,C,PUERTO RICO,BELGIUM,17:45,15:45,11:45,FALSE,,
,2026-09-06,group,D,ITALY,USA,20:45,18:45,14:45,FALSE,,
,2026-09-07,group,C,BELGIUM,AUSTRALIA,11:30,09:30,05:30,FALSE,1,
,2026-09-07,group,B,NIGERIA,FRANCE,14:30,12:30,08:30,FALSE,1,
,2026-09-07,group,A,GERMANY,MALI,17:50,15:50,11:50,FALSE,1,
,2026-09-07,group,D,USA,CZECHIA,20:45,18:45,14:45,FALSE,1,
,2026-09-07,group,C,PUERTO RICO,TÜRKIYE,11:30,09:30,05:30,FALSE,2,
,2026-09-07,group,B,HUNGARY,KOREA,14:30,12:30,08:30,FALSE,2,
,2026-09-07,group,A,JAPAN,SPAIN,17:50,15:50,11:50,FALSE,2,
,2026-09-07,group,D,ITALY,CHINA,20:45,18:45,14:45,FALSE,2,
25,2026-09-08,qualification_to_qf,,TBD,TBD,17:45 or 20:45,,,TRUE,,2nd A - 3rd B
26,2026-09-08,qualification_to_qf,,TBD,TBD,17:45 or 20:45,,,TRUE,,2nd B - 3rd A
27,2026-09-09,qualification_to_qf,,TBD,TBD,17:45 or 20:45,,,TRUE,,3rd C - 2nd D
28,2026-09-09,qualification_to_qf,,TBD,TBD,17:45 or 20:45,,,TRUE,,3rd D - 2nd C
29,2026-09-10,quarter_final,,TBD,TBD,11:30,09:30,05:30,FALSE,,W27 - 1st A  [QF slot 1; game_no mapping assumed]
30,2026-09-10,quarter_final,,TBD,TBD,14:30,12:30,08:30,FALSE,,W28 - 1st B  [QF slot 2; game_no mapping assumed]
31,2026-09-10,quarter_final,,TBD,TBD,17:45,15:45,11:45,FALSE,,1st C - W25  [QF slot 3; game_no mapping assumed]
32,2026-09-10,quarter_final,,TBD,TBD,20:45,18:45,14:45,FALSE,,1st D - W26  [QF slot 4; game_no mapping assumed]
33,2026-09-12,semi_final,,TBD,TBD,16:30 or 20:00,,,TRUE,,W29 - W32
34,2026-09-12,semi_final,,TBD,TBD,16:30 or 20:00,,,TRUE,,W30 - W31
,2026-09-13,third_place,,TBD,TBD,16:30,14:30,10:30,FALSE,,L33 - L34  [no game number in official schedule]
,2026-09-13,final,,TBD,TBD,20:00,18:00,14:00,FALSE,,W33 - W34  [no game number in official schedule]
